Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
187,0.5,4,0.0001,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
188,0.5,4,0.0005,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
189,0.5,4,0.0,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
190,0.5,4,0.0001,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
191,0.5,4,0.0005,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
192,0.9,4,0.0,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
193,0.9,4,0.0001,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
194,0.9,4,0.0005,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
195,0.9,4,0.0,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
196,0.9,4,0.0001,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
197,0.9,4,0.0005,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
198,0.0,4,0.0,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
199,0.0,4,0.0001,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
200,0.0,4,0.0005,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
201,0.0,4,0.0,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
202,0.0,4,0.0001,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
203,0.0,4,0.0005,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
204,0.5,4,0.0,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
205,0.5,4,0.0001,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
206,0.5,4,0.0005,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
207,0.5,4,0.0,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
208,0.5,4,0.0001,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
